Configuration,Text,Final Fitness,Layout
PopSize_1000000,Wizard of Oz,121733.0,"['z', 'k', 'w', 's', 'h', 'i', 't', 'c', ',', ';', 'v', 'd', 'n', 'l', 'r', 'e', 'a', 'o', 'y', '.', 'q', 'x', 'b', 'f', 'm', 'g', 'u', 'p', 'j', ""'""]"
PopSize_10000,Wizard of Oz,122153.3,"['x', 'k', 'd', 'n', 'h', 'i', 't', 'c', 'g', 'q', 'v', 'f', 'l', 'r', 's', 'e', 'a', 'o', 'u', '.', ""'"", 'z', 'b', 'm', 'w', ',', 'y', 'p', ';', 'j']"
PopSize_100000,Wizard of Oz,130209.4,"['q', 'g', 'c', 't', 'd', 'h', 's', 'n', 'k', 'x', 'p', 'u', 'i', 'a', 'e', 'r', 'o', 'l', ',', 'v', 'j', 'z', 'f', 'w', 'y', 'm', 'b', '.', ';', ""'""]"
PopSize_1000,Wizard of Oz,131267.3,"[""'"", 'v', 'p', 's', 'h', 'w', 'c', 'k', 'x', 'j', 'b', 'm', 'r', 'o', 'i', 'e', 'a', 't', 'u', 'f', ';', '.', ',', 'l', 'n', 'd', 'y', 'g', 'z', 'q']"
PopSize_100000,Moby Dick,769434.6,"['x', 'v', 'w', 'c', 'h', 'i', 't', 'k', 'z', ""'"", 'f', 'm', 'r', 's', 'n', 'e', 'a', 'o', ',', '.', 'q', 'b', 'p', 'l', 'd', 'g', 'u', 'y', ';', 'j']"
PopSize_1000,Moby Dick,787770.2,"['q', 'b', 'c', 'w', 'h', 'i', 't', 'u', 'k', 'j', 'f', 'l', 'r', 's', 'n', 'e', 'a', 'o', 'y', '.', 'z', 'x', 'v', 'd', 'm', 'g', 'p', ',', ';', ""'""]"
PopSize_1000000,Moby Dick,796371.5,"['q', '.', 'c', 's', 'h', 'u', 't', 'w', 'k', ';', 'v', 'p', 'r', 'o', 'n', 'i', 'a', 'e', 'd', ',', 'z', 'j', 'm', 'b', 'l', 'f', 'g', 'y', 'x', ""'""]"
PopSize_10000,Moby Dick,799685.1,"['j', '.', 'w', 't', 'u', 'h', 's', 'p', 'x', 'q', 'f', 'g', 'i', 'a', 'e', 'n', 'o', 'r', 'm', 'v', ""'"", ';', 'y', 'c', ',', 'd', 'l', 'b', 'k', 'z']"
Tournament_k10,Wizard of Oz,122030.3,"['x', 'v', 'c', 'w', 'h', 'i', 't', 'k', 'z', ""'"", 'f', 'm', 'r', 's', 'n', 'e', 'a', 'o', 'g', '.', 'q', 'b', 'p', 'l', 'd', ',', 'y', 'u', 'j', ';']"
Tournament_k2,Wizard of Oz,123442.8,"['x', 'k', 'n', 'd', 'h', 'i', 't', 'c', 'g', ""'"", 'v', 'w', 'l', 's', 'r', 'e', 'a', 'o', 'u', '.', 'j', ';', 'b', 'f', 'm', ',', 'y', 'p', 'z', 'q']"
