============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 5
Mutation rate: 0.75

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,231,432.9 | Avg:  2,099,622.6
Gen   3/150 | Best:  1,209,616.1 | Avg:  1,973,673.9
Gen   4/150 | Best:  1,158,179.0 | Avg:  1,893,879.8
Gen   5/150 | Best:  1,125,738.4 | Avg:  1,838,770.1
Gen   6/150 | Best:  1,125,738.4 | Avg:  1,793,114.7
Gen   7/150 | Best:  1,110,688.3 | Avg:  1,758,921.6
Gen   8/150 | Best:  1,089,709.9 | Avg:  1,730,655.2
Gen   9/150 | Best:  1,066,628.1 | Avg:  1,703,996.1
Gen  10/150 | Best:  1,066,628.1 | Avg:  1,681,417.6
Gen  11/150 | Best:  1,042,048.4 | Avg:  1,662,469.7
Gen  12/150 | Best:    996,876.0 | Avg:  1,650,089.0
Gen  13/150 | Best:    996,876.0 | Avg:  1,634,111.0
Gen  14/150 | Best:    996,876.0 | Avg:  1,623,418.0
Gen  15/150 | Best:    996,876.0 | Avg:  1,612,595.8
Gen  16/150 | Best:    982,520.7 | Avg:  1,600,281.0
Gen  17/150 | Best:    982,520.7 | Avg:  1,593,960.6
Gen  18/150 | Best:    982,520.7 | Avg:  1,587,611.6
Gen  19/150 | Best:    982,520.7 | Avg:  1,581,165.8
Gen  20/150 | Best:    960,302.9 | Avg:  1,574,804.5
Gen  21/150 | Best:    960,302.9 | Avg:  1,565,831.2
Gen  22/150 | Best:    960,302.9 | Avg:  1,562,283.5
Gen  23/150 | Best:    960,302.9 | Avg:  1,555,267.4
Gen  24/150 | Best:    960,302.9 | Avg:  1,552,984.8
Gen  25/150 | Best:    960,302.9 | Avg:  1,550,811.6
Gen  26/150 | Best:    952,934.0 | Avg:  1,545,072.2
Gen  27/150 | Best:    952,934.0 | Avg:  1,540,280.6
Gen  28/150 | Best:    952,934.0 | Avg:  1,536,075.8
Gen  29/150 | Best:    952,934.0 | Avg:  1,531,615.4
Gen  30/150 | Best:    952,934.0 | Avg:  1,529,153.7
Gen  31/150 | Best:    931,595.9 | Avg:  1,526,645.9
Gen  32/150 | Best:    931,595.9 | Avg:  1,524,336.1
