============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 30000 (30.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,086,502.0
Gen   3/150 | Best:  1,191,793.1 | Avg:  1,952,872.5
Gen   4/150 | Best:  1,190,236.7 | Avg:  1,864,808.0
Gen   5/150 | Best:  1,137,978.6 | Avg:  1,797,455.8
Gen   6/150 | Best:  1,108,336.8 | Avg:  1,744,645.5
Gen   7/150 | Best:  1,089,206.4 | Avg:  1,699,492.2
Gen   8/150 | Best:  1,083,974.8 | Avg:  1,664,316.4
Gen   9/150 | Best:  1,079,913.2 | Avg:  1,634,430.3
Gen  10/150 | Best:  1,032,235.1 | Avg:  1,608,232.2
Gen  11/150 | Best:  1,032,235.1 | Avg:  1,582,656.3
Gen  12/150 | Best:  1,012,387.9 | Avg:  1,560,549.9
Gen  13/150 | Best:  1,012,387.9 | Avg:  1,543,593.7
Gen  14/150 | Best:  1,012,387.9 | Avg:  1,527,533.6
Gen  15/150 | Best:  1,008,702.6 | Avg:  1,513,407.0
Gen  16/150 | Best:  1,008,702.6 | Avg:  1,501,948.6
Gen  17/150 | Best:  1,004,657.0 | Avg:  1,489,850.5
Gen  18/150 | Best:    995,491.2 | Avg:  1,479,956.7
Gen  19/150 | Best:    960,069.9 | Avg:  1,468,681.5
Gen  20/150 | Best:    960,069.9 | Avg:  1,460,957.7
Gen  21/150 | Best:    960,069.9 | Avg:  1,452,318.2
Gen  22/150 | Best:    960,069.9 | Avg:  1,447,073.0
Gen  23/150 | Best:    960,069.9 | Avg:  1,441,477.9
Gen  24/150 | Best:    947,816.5 | Avg:  1,434,421.1
Gen  25/150 | Best:    926,450.1 | Avg:  1,426,827.0
Gen  26/150 | Best:    926,450.1 | Avg:  1,421,243.9
Gen  27/150 | Best:    926,450.1 | Avg:  1,414,495.9
Gen  28/150 | Best:    926,450.1 | Avg:  1,411,837.2
Gen  29/150 | Best:    926,450.1 | Avg:  1,405,945.6
Gen  30/150 | Best:    926,450.1 | Avg:  1,400,559.9
Gen  31/150 | Best:    926,450.1 | Avg:  1,396,425.7
Gen  32/150 | Best:    926,450.1 | Avg:  1,388,602.3
Gen  33/150 | Best:    914,070.0 | Avg:  1,383,823.3
Gen  34/150 | Best:    900,937.2 | Avg:  1,376,076.8
Gen  35/150 | Best:    900,937.2 | Avg:  1,370,571.3
Gen  36/150 | Best:    900,937.2 | Avg:  1,364,434.1
Gen  37/150 | Best:    900,937.2 | Avg:  1,357,981.8
Gen  38/150 | Best:    900,429.2 | Avg:  1,349,153.3
Gen  39/150 | Best:    899,367.3 | Avg:  1,335,142.7
Gen  40/150 | Best:    899,367.3 | Avg:  1,324,361.1
Gen  41/150 | Best:    876,865.5 | Avg:  1,304,910.9
Gen  42/150 | Best:    876,865.5 | Avg:  1,277,329.0
Gen  43/150 | Best:    876,865.5 | Avg:  1,236,590.9
Gen  44/150 | Best:    876,865.5 | Avg:  1,168,537.3
Gen  45/150 | Best:    874,650.9 | Avg:  1,087,835.4
Gen  46/150 | Best:    864,191.8 | Avg:  1,023,209.6
Gen  47/150 | Best:    864,191.8 | Avg:    985,074.0
Gen  48/150 | Best:    864,191.8 | Avg:    965,284.1
Gen  49/150 | Best:    861,471.0 | Avg:    953,157.8
Gen  50/150 | Best:    853,657.6 | Avg:    941,603.9
Gen  51/150 | Best:    850,888.1 | Avg:    930,117.0
Gen  52/150 | Best:    850,888.1 | Avg:    919,746.4
Gen  53/150 | Best:    843,993.7 | Avg:    911,898.5
Gen  54/150 | Best:    843,993.7 | Avg:    907,135.3
Gen  55/150 | Best:    843,993.7 | Avg:    901,786.8
Gen  56/150 | Best:    839,710.0 | Avg:    897,241.9
Gen  57/150 | Best:    838,850.9 | Avg:    893,313.8
Gen  58/150 | Best:    837,424.3 | Avg:    893,476.7
Gen  59/150 | Best:    831,380.7 | Avg:    899,556.4
Gen  60/150 | Best:    831,380.7 | Avg:    910,660.1
Gen  61/150 | Best:    828,867.6 | Avg:    922,314.2
Gen  62/150 | Best:    825,015.7 | Avg:    928,296.5
Gen  63/150 | Best:    825,015.7 | Avg:    923,073.4
Gen  64/150 | Best:    825,015.7 | Avg:    912,573.4
Gen  65/150 | Best:    823,905.6 | Avg:    906,265.1
Gen  66/150 | Best:    822,048.4 | Avg:    906,457.9
Gen  67/150 | Best:    821,965.0 | Avg:    902,772.4
Gen  68/150 | Best:    821,965.0 | Avg:    890,734.3
Gen  69/150 | Best:    820,065.7 | Avg:    888,275.2
Gen  70/150 | Best:    817,533.3 | Avg:    904,640.4
Gen  71/150 | Best:    817,042.9 | Avg:    912,573.1
Gen  72/150 | Best:    816,100.8 | Avg:    889,623.5
Gen  73/150 | Best:    814,662.3 | Avg:    857,550.2
Gen  74/150 | Best:    812,768.9 | Avg:    843,948.9
Gen  75/150 | Best:    812,175.4 | Avg:    838,336.2
Gen  76/150 | Best:    812,175.4 | Avg:    835,737.8
Gen  77/150 | Best:    810,738.9 | Avg:    836,559.0
Gen  78/150 | Best:    810,738.9 | Avg:    836,789.1
Gen  79/150 | Best:    810,662.5 | Avg:    837,340.9
Gen  80/150 | Best:    805,920.6 | Avg:    840,947.0
Gen  81/150 | Best:    805,920.6 | Avg:    836,478.9
Gen  82/150 | Best:    805,920.6 | Avg:    829,435.0
Gen  83/150 | Best:    805,527.6 | Avg:    827,749.0
Gen  84/150 | Best:    805,527.6 | Avg:    831,978.4
Gen  85/150 | Best:    805,527.6 | Avg:    841,369.7
Gen  86/150 | Best:    805,527.6 | Avg:    849,882.5
Gen  87/150 | Best:    801,603.2 | Avg:    835,782.0
Gen  88/150 | Best:    801,603.2 | Avg:    834,389.1
Gen  89/150 | Best:    801,603.2 | Avg:    844,283.6
Gen  90/150 | Best:    801,603.2 | Avg:    861,624.4
Gen  91/150 | Best:    801,211.5 | Avg:    881,472.9
Gen  92/150 | Best:    801,211.5 | Avg:    868,968.1
Gen  93/150 | Best:    801,211.5 | Avg:    822,680.0
Gen  94/150 | Best:    801,211.5 | Avg:    822,918.2
Gen  95/150 | Best:    801,211.5 | Avg:    830,406.4
Gen  96/150 | Best:    801,211.5 | Avg:    845,122.9
Gen  97/150 | Best:    801,211.5 | Avg:    863,262.3
Gen  98/150 | Best:    801,211.5 | Avg:    837,434.3
Gen  99/150 | Best:    801,211.5 | Avg:    815,162.4
Gen 100/150 | Best:    801,211.5 | Avg:    814,623.5
Gen 101/150 | Best:    801,211.5 | Avg:    814,685.9
Gen 102/150 | Best:    801,211.5 | Avg:    814,420.8
Gen 103/150 | Best:    801,211.5 | Avg:    814,618.6
Gen 104/150 | Best:    801,211.5 | Avg:    814,756.7
Gen 105/150 | Best:    801,211.5 | Avg:    814,776.1
Gen 106/150 | Best:    801,211.5 | Avg:    814,711.8
Gen 107/150 | Best:    801,211.5 | Avg:    814,562.8
Gen 108/150 | Best:    801,211.5 | Avg:    814,899.4
Gen 109/150 | Best:    801,211.5 | Avg:    814,665.3
Gen 110/150 | Best:    801,211.5 | Avg:    814,966.6
Gen 111/150 | Best:    801,211.5 | Avg:    814,541.0
Gen 112/150 | Best:    801,211.5 | Avg:    814,857.7
Gen 113/150 | Best:    801,211.5 | Avg:    814,788.1
