============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,090,818.0
Gen   3/150 | Best:  1,194,255.9 | Avg:  1,957,343.6
Gen   4/150 | Best:  1,128,348.0 | Avg:  1,873,799.8
Gen   5/150 | Best:  1,117,441.0 | Avg:  1,812,049.4
Gen   6/150 | Best:  1,070,540.5 | Avg:  1,761,903.5
Gen   7/150 | Best:  1,022,660.4 | Avg:  1,722,465.4
Gen   8/150 | Best:  1,022,660.4 | Avg:  1,691,326.1
Gen   9/150 | Best:  1,022,660.4 | Avg:  1,661,541.3
Gen  10/150 | Best:  1,022,660.4 | Avg:  1,635,477.8
Gen  11/150 | Best:  1,022,660.4 | Avg:  1,614,979.4
Gen  12/150 | Best:  1,022,660.4 | Avg:  1,597,786.3
Gen  13/150 | Best:  1,016,819.4 | Avg:  1,581,812.8
Gen  14/150 | Best:  1,014,496.7 | Avg:  1,567,177.2
Gen  15/150 | Best:  1,014,496.7 | Avg:  1,555,619.8
Gen  16/150 | Best:  1,008,637.1 | Avg:  1,541,872.9
Gen  17/150 | Best:    986,585.2 | Avg:  1,532,250.7
Gen  18/150 | Best:    979,841.3 | Avg:  1,526,558.7
Gen  19/150 | Best:    979,841.3 | Avg:  1,517,313.1
Gen  20/150 | Best:    962,182.2 | Avg:  1,511,101.9
Gen  21/150 | Best:    951,771.0 | Avg:  1,502,799.0
Gen  22/150 | Best:    951,771.0 | Avg:  1,498,015.6
Gen  23/150 | Best:    947,915.9 | Avg:  1,490,739.7
Gen  24/150 | Best:    947,915.9 | Avg:  1,485,433.7
Gen  25/150 | Best:    937,010.3 | Avg:  1,482,081.6
Gen  26/150 | Best:    932,223.7 | Avg:  1,475,815.5
Gen  27/150 | Best:    932,223.7 | Avg:  1,469,925.8
Gen  28/150 | Best:    929,960.6 | Avg:  1,460,915.5
Gen  29/150 | Best:    929,960.6 | Avg:  1,454,746.1
Gen  30/150 | Best:    926,700.9 | Avg:  1,450,273.7
Gen  31/150 | Best:    926,700.9 | Avg:  1,442,116.8
Gen  32/150 | Best:    925,210.3 | Avg:  1,434,519.7
Gen  33/150 | Best:    913,982.6 | Avg:  1,426,071.6
Gen  34/150 | Best:    911,662.8 | Avg:  1,418,814.7
Gen  35/150 | Best:    885,491.6 | Avg:  1,410,093.4
Gen  36/150 | Best:    885,491.6 | Avg:  1,402,978.7
Gen  37/150 | Best:    885,491.6 | Avg:  1,390,190.8
Gen  38/150 | Best:    885,491.6 | Avg:  1,381,228.4
Gen  39/150 | Best:    885,491.6 | Avg:  1,366,810.0
Gen  40/150 | Best:    885,491.6 | Avg:  1,351,307.5
Gen  41/150 | Best:    885,491.6 | Avg:  1,340,797.3
Gen  42/150 | Best:    884,072.0 | Avg:  1,322,885.7
Gen  43/150 | Best:    884,072.0 | Avg:  1,301,168.4
Gen  44/150 | Best:    883,107.8 | Avg:  1,273,651.0
Gen  45/150 | Best:    880,862.2 | Avg:  1,236,729.1
Gen  46/150 | Best:    868,943.4 | Avg:  1,188,823.8
Gen  47/150 | Best:    858,226.0 | Avg:  1,124,922.2
Gen  48/150 | Best:    845,989.8 | Avg:  1,065,955.1
Gen  49/150 | Best:    844,156.8 | Avg:  1,013,857.1
Gen  50/150 | Best:    821,762.5 | Avg:    976,346.0
Gen  51/150 | Best:    821,762.5 | Avg:    945,679.7
Gen  52/150 | Best:    821,762.5 | Avg:    923,430.9
Gen  53/150 | Best:    821,762.5 | Avg:    907,591.9
Gen  54/150 | Best:    809,650.2 | Avg:    900,961.0
Gen  55/150 | Best:    803,208.0 | Avg:    898,649.2
Gen  56/150 | Best:    803,208.0 | Avg:    895,166.9
Gen  57/150 | Best:    802,761.7 | Avg:    877,049.9
Gen  58/150 | Best:    797,418.5 | Avg:    865,115.5
Gen  59/150 | Best:    797,418.5 | Avg:    859,704.3
Gen  60/150 | Best:    792,525.9 | Avg:    858,828.2
Gen  61/150 | Best:    790,828.1 | Avg:    862,338.6
Gen  62/150 | Best:    785,755.0 | Avg:    865,571.0
Gen  63/150 | Best:    783,034.3 | Avg:    855,141.2
Gen  64/150 | Best:    775,232.6 | Avg:    844,257.5
Gen  65/150 | Best:    775,232.6 | Avg:    851,101.9
Gen  66/150 | Best:    773,601.4 | Avg:    863,765.6
Gen  67/150 | Best:    773,161.0 | Avg:    869,852.8
Gen  68/150 | Best:    771,541.2 | Avg:    865,705.9
Gen  69/150 | Best:    771,284.1 | Avg:    854,827.7
Gen  70/150 | Best:    769,825.7 | Avg:    823,764.4
Gen  71/150 | Best:    769,825.7 | Avg:    798,247.9
Gen  72/150 | Best:    769,434.6 | Avg:    795,676.8
Gen  73/150 | Best:    769,434.6 | Avg:    792,244.5
Gen  74/150 | Best:    769,434.6 | Avg:    792,833.5
Gen  75/150 | Best:    769,434.6 | Avg:    795,041.1
Gen  76/150 | Best:    769,434.6 | Avg:    794,565.8
Gen  77/150 | Best:    769,434.6 | Avg:    788,392.0
Gen  78/150 | Best:    769,434.6 | Avg:    787,653.6
Gen  79/150 | Best:    769,434.6 | Avg:    787,316.6
Gen  80/150 | Best:    769,434.6 | Avg:    787,131.1
Gen  81/150 | Best:    769,434.6 | Avg:    786,880.0
Gen  82/150 | Best:    769,434.6 | Avg:    787,403.5
Gen  83/150 | Best:    769,434.6 | Avg:    787,073.2
Gen  84/150 | Best:    769,434.6 | Avg:    786,894.4
Gen  85/150 | Best:    769,434.6 | Avg:    786,962.9
Gen  86/150 | Best:    769,434.6 | Avg:    787,006.0
Gen  87/150 | Best:    769,434.6 | Avg:    787,471.6
Gen  88/150 | Best:    769,434.6 | Avg:    787,040.0
Gen  89/150 | Best:    769,434.6 | Avg:    787,049.2
Gen  90/150 | Best:    769,434.6 | Avg:    786,999.8
Gen  91/150 | Best:    769,434.6 | Avg:    787,177.1
Gen  92/150 | Best:    769,434.6 | Avg:    787,146.7
Gen  93/150 | Best:    769,434.6 | Avg:    787,191.3
Gen  94/150 | Best:    769,434.6 | Avg:    787,074.1
Gen  95/150 | Best:    769,434.6 | Avg:    787,138.9
Gen  96/150 | Best:    769,434.6 | Avg:    787,076.1
Gen  97/150 | Best:    769,434.6 | Avg:    787,012.4
Gen  98/150 | Best:    769,434.6 | Avg:    787,332.9
Gen  99/150 | Best:    769,434.6 | Avg:    787,005.9
Gen 100/150 | Best:    769,434.6 | Avg:    787,352.2
Gen 101/150 | Best:    769,434.6 | Avg:    787,150.8
Gen 102/150 | Best:    769,434.6 | Avg:    786,806.0
Gen 103/150 | Best:    769,434.6 | Avg:    787,221.1
Gen 104/150 | Best:    769,434.6 | Avg:    787,512.9
Gen 105/150 | Best:    769,434.6 | Avg:    787,300.9
Gen 106/150 | Best:    769,434.6 | Avg:    787,403.7
Gen 107/150 | Best:    769,434.6 | Avg:    786,601.5
Gen 108/150 | Best:    769,434.6 | Avg:    787,415.8
Gen 109/150 | Best:    769,434.6 | Avg:    787,549.6
Gen 110/150 | Best:    769,434.6 | Avg:    787,264.3
Gen 111/150 | Best:    769,434.6 | Avg:    787,031.4
Gen 112/150 | Best:    769,434.6 | Avg:    787,189.2
Gen 113/150 | Best:    769,434.6 | Avg:    787,399.8
Gen 114/150 | Best:    769,434.6 | Avg:    787,337.3
Gen 115/150 | Best:    769,434.6 | Avg:    787,688.3
Gen 116/150 | Best:    769,434.6 | Avg:    787,194.4
Gen 117/150 | Best:    769,434.6 | Avg:    787,487.8
Gen 118/150 | Best:    769,434.6 | Avg:    787,316.1
Gen 119/150 | Best:    769,434.6 | Avg:    787,344.4
Gen 120/150 | Best:    769,434.6 | Avg:    787,252.1
Gen 121/150 | Best:    769,434.6 | Avg:    786,937.9
Gen 122/150 | Best:    769,434.6 | Avg:    787,650.2
Gen 123/150 | Best:    769,434.6 | Avg:    787,288.0
Gen 124/150 | Best:    769,434.6 | Avg:    786,726.9
Gen 125/150 | Best:    769,434.6 | Avg:    786,908.9
Gen 126/150 | Best:    769,434.6 | Avg:    787,285.1
Gen 127/150 | Best:    769,434.6 | Avg:    787,634.2
Gen 128/150 | Best:    769,434.6 | Avg:    787,707.3
Gen 129/150 | Best:    769,434.6 | Avg:    787,490.9
Gen 130/150 | Best:    769,434.6 | Avg:    787,408.8
Gen 131/150 | Best:    769,434.6 | Avg:    787,122.8
Gen 132/150 | Best:    769,434.6 | Avg:    786,966.1
Gen 133/150 | Best:    769,434.6 | Avg:    787,356.8
Gen 134/150 | Best:    769,434.6 | Avg:    786,960.2
Gen 135/150 | Best:    769,434.6 | Avg:    787,397.6
Gen 136/150 | Best:    769,434.6 | Avg:    787,344.9
Gen 137/150 | Best:    769,434.6 | Avg:    787,082.9
Gen 138/150 | Best:    769,434.6 | Avg:    786,952.2
Gen 139/150 | Best:    769,434.6 | Avg:    787,120.4
Gen 140/150 | Best:    769,434.6 | Avg:    787,073.8
Gen 141/150 | Best:    769,434.6 | Avg:    787,253.9
Gen 142/150 | Best:    769,434.6 | Avg:    787,162.2
Gen 143/150 | Best:    769,434.6 | Avg:    787,395.1
Gen 144/150 | Best:    769,434.6 | Avg:    787,274.2
Gen 145/150 | Best:    769,434.6 | Avg:    787,394.1
Gen 146/150 | Best:    769,434.6 | Avg:    787,132.6
Gen 147/150 | Best:    769,434.6 | Avg:    786,464.1
Gen 148/150 | Best:    769,434.6 | Avg:    787,111.6
Gen 149/150 | Best:    769,434.6 | Avg:    787,112.6
Gen 150/150 | Best:    769,434.6 | Avg:    786,949.9

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 769,434.6
Improvement vs QWERTY: 57.75%
Improvement vs DVORAK: 46.34%
Improvement vs QWERTZ: 59.03%
Improvement vs COLEMAK: 43.79%

Layout representation:
['x', 'v', 'w', 'c', 'h', 'i', 't', 'k', 'z', "'", 'f', 'm', 'r', 's', 'n', 'e', 'a', 'o', ',', '.', 'q', 'b', 'p', 'l', 'd', 'g', 'u', 'y', ';', 'j']

OPTIMIZED LAYOUT:
   x  v  w  c  h  i  t  k  z  '
   f  m  r  s  n  e  a  o  ,  .
   q  b  p  l  d  g  u  y  ;  j

============================================================
DATOS PARA LATEX
============================================================

% Generación y Best Fitness
% coordinates {(gen, fitness)}

(1, 1265602.1)
(2, 1198083.0)
(3, 1194255.9)
(4, 1128348.0)
(5, 1117441.0)
(6, 1070540.5)
(7, 1022660.4)
(8, 1022660.4)
(9, 1022660.4)
(10, 1022660.4)
(11, 1022660.4)
(12, 1022660.4)
(13, 1016819.4)
(14, 1014496.7)
(15, 1014496.7)
(16, 1008637.1)
(17, 986585.2)
(18, 979841.3)
(19, 979841.3)
(20, 962182.2)
(21, 951771.0)
(22, 951771.0)
(23, 947915.9)
(24, 947915.9)
(25, 937010.3)
(26, 932223.7)
(27, 932223.7)
(28, 929960.6)
(29, 929960.6)
(30, 926700.9)
(31, 926700.9)
(32, 925210.3)
(33, 913982.6)
(34, 911662.8)
(35, 885491.6)
(36, 885491.6)
(37, 885491.6)
(38, 885491.6)
(39, 885491.6)
(40, 885491.6)
(41, 885491.6)
(42, 884072.0)
(43, 884072.0)
(44, 883107.8)
(45, 880862.2)
(46, 868943.4)
(47, 858226.0)
(48, 845989.8)
(49, 844156.8)
(50, 821762.5)
(51, 821762.5)
(52, 821762.5)
(53, 821762.5)
(54, 809650.2)
(55, 803208.0)
(56, 803208.0)
(57, 802761.7)
(58, 797418.5)
(59, 797418.5)
(60, 792525.9)
(61, 790828.1)
(62, 785755.0)
(63, 783034.3)
(64, 775232.6)
(65, 775232.6)
(66, 773601.4)
(67, 773161.0)
(68, 771541.2)
(69, 771284.1)
(70, 769825.7)
(71, 769825.7)
(72, 769434.6)
(73, 769434.6)
(74, 769434.6)
(75, 769434.6)
(76, 769434.6)
(77, 769434.6)
(78, 769434.6)
(79, 769434.6)
(80, 769434.6)
(81, 769434.6)
(82, 769434.6)
(83, 769434.6)
(84, 769434.6)
(85, 769434.6)
(86, 769434.6)
(87, 769434.6)
(88, 769434.6)
(89, 769434.6)
(90, 769434.6)
(91, 769434.6)
(92, 769434.6)
(93, 769434.6)
(94, 769434.6)
(95, 769434.6)
(96, 769434.6)
(97, 769434.6)
(98, 769434.6)
(99, 769434.6)
(100, 769434.6)
(101, 769434.6)
(102, 769434.6)
(103, 769434.6)
(104, 769434.6)
(105, 769434.6)
(106, 769434.6)
(107, 769434.6)
(108, 769434.6)
(109, 769434.6)
(110, 769434.6)
(111, 769434.6)
(112, 769434.6)
(113, 769434.6)
(114, 769434.6)
(115, 769434.6)
(116, 769434.6)
(117, 769434.6)
(118, 769434.6)
(119, 769434.6)
(120, 769434.6)
(121, 769434.6)
(122, 769434.6)
(123, 769434.6)
(124, 769434.6)
(125, 769434.6)
(126, 769434.6)
(127, 769434.6)
(128, 769434.6)
(129, 769434.6)
(130, 769434.6)
(131, 769434.6)
(132, 769434.6)
(133, 769434.6)
(134, 769434.6)
(135, 769434.6)
(136, 769434.6)
(137, 769434.6)
(138, 769434.6)
(139, 769434.6)
(140, 769434.6)
(141, 769434.6)
(142, 769434.6)
(143, 769434.6)
(144, 769434.6)
(145, 769434.6)
(146, 769434.6)
(147, 769434.6)
(148, 769434.6)
(149, 769434.6)
(150, 769434.6)

============================================================

Time consumed: 5902.98s (01h38m22s)
