============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 7
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,191,749.3 | Avg:  2,061,522.2
Gen   3/150 | Best:  1,191,749.3 | Avg:  1,924,473.8
Gen   4/150 | Best:  1,104,749.0 | Avg:  1,831,730.8
Gen   5/150 | Best:  1,096,008.7 | Avg:  1,766,650.6
Gen   6/150 | Best:  1,074,350.2 | Avg:  1,716,409.9
Gen   7/150 | Best:  1,074,136.2 | Avg:  1,675,291.2
Gen   8/150 | Best:  1,055,147.3 | Avg:  1,640,494.3
Gen   9/150 | Best:  1,025,790.4 | Avg:  1,610,301.9
Gen  10/150 | Best:  1,025,790.4 | Avg:  1,588,119.6
Gen  11/150 | Best:    991,311.1 | Avg:  1,571,306.9
Gen  12/150 | Best:    968,325.7 | Avg:  1,551,845.2
Gen  13/150 | Best:    968,325.7 | Avg:  1,538,200.1
Gen  14/150 | Best:    965,090.5 | Avg:  1,525,707.5
Gen  15/150 | Best:    965,090.5 | Avg:  1,514,461.3
Gen  16/150 | Best:    947,916.4 | Avg:  1,501,382.8
Gen  17/150 | Best:    947,916.4 | Avg:  1,489,421.6
Gen  18/150 | Best:    947,916.4 | Avg:  1,481,935.3
Gen  19/150 | Best:    933,816.3 | Avg:  1,475,320.1
Gen  20/150 | Best:    933,816.3 | Avg:  1,461,389.9
Gen  21/150 | Best:    931,183.2 | Avg:  1,451,536.7
Gen  22/150 | Best:    931,183.2 | Avg:  1,434,818.4
Gen  23/150 | Best:    931,183.2 | Avg:  1,421,006.9
Gen  24/150 | Best:    907,479.0 | Avg:  1,390,882.7
Gen  25/150 | Best:    907,479.0 | Avg:  1,350,986.7
Gen  26/150 | Best:    902,649.4 | Avg:  1,290,814.5
Gen  27/150 | Best:    902,649.4 | Avg:  1,223,838.1
Gen  28/150 | Best:    902,649.4 | Avg:  1,160,350.0
Gen  29/150 | Best:    899,825.9 | Avg:  1,104,465.1
Gen  30/150 | Best:    895,805.3 | Avg:  1,058,445.6
Gen  31/150 | Best:    894,382.8 | Avg:  1,010,919.7
Gen  32/150 | Best:    866,542.2 | Avg:    959,782.8
Gen  33/150 | Best:    860,683.1 | Avg:    941,581.4
Gen  34/150 | Best:    860,217.5 | Avg:    932,197.5
Gen  35/150 | Best:    854,443.1 | Avg:    928,188.1
Gen  36/150 | Best:    854,443.1 | Avg:    924,954.5
Gen  37/150 | Best:    848,237.3 | Avg:    926,694.5
