============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 1000 layouts
Elite size: 150 (15.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,468,562.0 | Avg:  2,366,389.3
Gen   2/150 | Best:  1,415,810.9 | Avg:  2,073,363.8
Gen   3/150 | Best:  1,323,820.9 | Avg:  1,936,009.7
Gen   4/150 | Best:  1,248,447.8 | Avg:  1,870,291.4
Gen   5/150 | Best:  1,248,447.8 | Avg:  1,809,520.1
Gen   6/150 | Best:  1,248,447.8 | Avg:  1,763,042.8
Gen   7/150 | Best:  1,242,537.9 | Avg:  1,730,909.5
Gen   8/150 | Best:  1,199,979.4 | Avg:  1,693,244.7
Gen   9/150 | Best:  1,199,979.4 | Avg:  1,643,193.7
Gen  10/150 | Best:  1,130,236.2 | Avg:  1,630,202.2
Gen  11/150 | Best:  1,130,236.2 | Avg:  1,603,890.8
Gen  12/150 | Best:  1,104,183.4 | Avg:  1,546,827.2
Gen  13/150 | Best:  1,104,183.4 | Avg:  1,545,628.9
Gen  14/150 | Best:  1,100,426.5 | Avg:  1,503,722.8
Gen  15/150 | Best:  1,052,389.6 | Avg:  1,473,769.0
Gen  16/150 | Best:  1,038,832.8 | Avg:  1,430,361.2
Gen  17/150 | Best:  1,018,756.2 | Avg:  1,399,720.9
Gen  18/150 | Best:    976,051.8 | Avg:  1,350,643.3
Gen  19/150 | Best:    976,051.8 | Avg:  1,338,063.6
Gen  20/150 | Best:    974,504.4 | Avg:  1,284,439.1
Gen  21/150 | Best:    967,041.8 | Avg:  1,171,743.8
Gen  22/150 | Best:    967,041.8 | Avg:  1,100,987.5
Gen  23/150 | Best:    955,779.7 | Avg:  1,070,168.9
Gen  24/150 | Best:    945,053.9 | Avg:  1,054,314.8
Gen  25/150 | Best:    943,064.6 | Avg:  1,026,371.9
Gen  26/150 | Best:    927,945.2 | Avg:  1,014,980.3
Gen  27/150 | Best:    921,952.1 | Avg:  1,007,846.3
Gen  28/150 | Best:    914,978.9 | Avg:  1,003,648.7
