============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 2
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,243,096.0 | Avg:  2,189,360.3
Gen   3/150 | Best:  1,232,471.3 | Avg:  2,087,745.2
Gen   4/150 | Best:  1,159,162.6 | Avg:  2,018,150.0
Gen   5/150 | Best:  1,159,162.6 | Avg:  1,966,523.2
Gen   6/150 | Best:  1,159,162.6 | Avg:  1,928,295.9
Gen   7/150 | Best:  1,133,775.9 | Avg:  1,896,123.6
Gen   8/150 | Best:  1,133,775.9 | Avg:  1,867,693.6
Gen   9/150 | Best:  1,133,775.9 | Avg:  1,847,328.5
Gen  10/150 | Best:  1,122,543.2 | Avg:  1,825,155.4
Gen  11/150 | Best:  1,122,543.2 | Avg:  1,805,047.1
Gen  12/150 | Best:  1,087,339.5 | Avg:  1,788,296.8
Gen  13/150 | Best:  1,087,339.5 | Avg:  1,772,277.2
Gen  14/150 | Best:  1,080,568.7 | Avg:  1,758,440.9
Gen  15/150 | Best:  1,071,882.7 | Avg:  1,749,705.1
Gen  16/150 | Best:  1,071,882.7 | Avg:  1,735,483.1
Gen  17/150 | Best:  1,052,041.0 | Avg:  1,726,244.7
Gen  18/150 | Best:  1,049,162.9 | Avg:  1,713,967.7
Gen  19/150 | Best:  1,034,500.9 | Avg:  1,704,470.4
Gen  20/150 | Best:  1,034,500.9 | Avg:  1,697,804.2
Gen  21/150 | Best:  1,026,521.0 | Avg:  1,693,220.0
Gen  22/150 | Best:  1,026,521.0 | Avg:  1,683,859.6
Gen  23/150 | Best:  1,026,521.0 | Avg:  1,676,925.3
Gen  24/150 | Best:    996,768.4 | Avg:  1,671,734.6
Gen  25/150 | Best:    996,768.4 | Avg:  1,667,014.5
Gen  26/150 | Best:    996,768.4 | Avg:  1,663,326.4
Gen  27/150 | Best:    996,768.4 | Avg:  1,656,802.0
Gen  28/150 | Best:    963,829.5 | Avg:  1,650,599.9
Gen  29/150 | Best:    963,829.5 | Avg:  1,645,267.5
Gen  30/150 | Best:    934,005.6 | Avg:  1,643,266.5
Gen  31/150 | Best:    934,005.6 | Avg:  1,640,918.8
Gen  32/150 | Best:    934,005.6 | Avg:  1,638,814.5
Gen  33/150 | Best:    934,005.6 | Avg:  1,634,019.9
Gen  34/150 | Best:    934,005.6 | Avg:  1,630,103.0
Gen  35/150 | Best:    934,005.6 | Avg:  1,628,002.4
Gen  36/150 | Best:    934,005.6 | Avg:  1,623,458.0
Gen  37/150 | Best:    934,005.6 | Avg:  1,623,775.3
Gen  38/150 | Best:    934,005.6 | Avg:  1,620,113.4
Gen  39/150 | Best:    934,005.6 | Avg:  1,619,872.0
Gen  40/150 | Best:    934,005.6 | Avg:  1,615,306.9
Gen  41/150 | Best:    934,005.6 | Avg:  1,612,112.6
Gen  42/150 | Best:    934,005.6 | Avg:  1,609,789.7
Gen  43/150 | Best:    934,005.6 | Avg:  1,608,987.4
Gen  44/150 | Best:    934,005.6 | Avg:  1,606,677.9
Gen  45/150 | Best:    934,005.6 | Avg:  1,605,781.6
Gen  46/150 | Best:    934,005.6 | Avg:  1,604,544.5
Gen  47/150 | Best:    934,005.6 | Avg:  1,603,218.0
Gen  48/150 | Best:    934,005.6 | Avg:  1,599,120.0
Gen  49/150 | Best:    934,005.6 | Avg:  1,595,815.5
Gen  50/150 | Best:    927,302.3 | Avg:  1,596,995.6
Gen  51/150 | Best:    927,302.3 | Avg:  1,594,424.8
Gen  52/150 | Best:    927,302.3 | Avg:  1,591,845.3
Gen  53/150 | Best:    927,302.3 | Avg:  1,591,005.1
Gen  54/150 | Best:    927,302.3 | Avg:  1,590,294.4
Gen  55/150 | Best:    925,704.4 | Avg:  1,588,046.9
Gen  56/150 | Best:    925,704.4 | Avg:  1,589,143.3
Gen  57/150 | Best:    925,704.4 | Avg:  1,586,906.4
Gen  58/150 | Best:    925,704.4 | Avg:  1,586,046.8
Gen  59/150 | Best:    925,704.4 | Avg:  1,582,737.7
Gen  60/150 | Best:    925,704.4 | Avg:  1,583,881.8
Gen  61/150 | Best:    925,704.4 | Avg:  1,581,058.6
Gen  62/150 | Best:    925,704.4 | Avg:  1,580,434.2
Gen  63/150 | Best:    925,704.4 | Avg:  1,578,163.7
Gen  64/150 | Best:    925,704.4 | Avg:  1,577,272.7
Gen  65/150 | Best:    925,704.4 | Avg:  1,574,578.0
Gen  66/150 | Best:    925,704.4 | Avg:  1,573,815.8
Gen  67/150 | Best:    925,704.4 | Avg:  1,573,155.6
Gen  68/150 | Best:    925,704.4 | Avg:  1,571,313.9
Gen  69/150 | Best:    918,181.0 | Avg:  1,567,920.3
Gen  70/150 | Best:    918,181.0 | Avg:  1,568,805.6
Gen  71/150 | Best:    918,181.0 | Avg:  1,567,462.0
Gen  72/150 | Best:    918,181.0 | Avg:  1,566,913.2
Gen  73/150 | Best:    918,181.0 | Avg:  1,567,534.2
Gen  74/150 | Best:    918,181.0 | Avg:  1,566,118.4
Gen  75/150 | Best:    908,233.1 | Avg:  1,563,479.8
Gen  76/150 | Best:    908,233.1 | Avg:  1,561,198.4
Gen  77/150 | Best:    908,233.1 | Avg:  1,560,582.9
Gen  78/150 | Best:    908,233.1 | Avg:  1,560,108.1
Gen  79/150 | Best:    908,233.1 | Avg:  1,560,047.6
Gen  80/150 | Best:    896,255.3 | Avg:  1,560,044.5
Gen  81/150 | Best:    896,255.3 | Avg:  1,556,854.5
Gen  82/150 | Best:    896,255.3 | Avg:  1,553,935.2
Gen  83/150 | Best:    896,255.3 | Avg:  1,554,505.2
Gen  84/150 | Best:    896,255.3 | Avg:  1,550,615.3
Gen  85/150 | Best:    896,255.3 | Avg:  1,549,119.3
Gen  86/150 | Best:    896,255.3 | Avg:  1,547,319.2
