============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 2
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,375,854.6 | Avg:  2,196,543.9
Gen   3/150 | Best:  1,198,346.4 | Avg:  2,087,059.4
Gen   4/150 | Best:  1,198,346.4 | Avg:  2,016,399.5
Gen   5/150 | Best:  1,198,346.4 | Avg:  1,963,791.1
Gen   6/150 | Best:  1,198,346.4 | Avg:  1,923,494.3
Gen   7/150 | Best:  1,196,287.3 | Avg:  1,889,069.3
Gen   8/150 | Best:  1,196,287.3 | Avg:  1,860,327.0
Gen   9/150 | Best:  1,183,118.3 | Avg:  1,837,440.5
Gen  10/150 | Best:  1,164,324.4 | Avg:  1,815,435.4
Gen  11/150 | Best:  1,164,324.4 | Avg:  1,801,453.2
Gen  12/150 | Best:  1,162,136.4 | Avg:  1,786,242.1
Gen  13/150 | Best:  1,100,278.6 | Avg:  1,770,401.3
Gen  14/150 | Best:  1,060,445.7 | Avg:  1,755,172.9
Gen  15/150 | Best:  1,059,551.6 | Avg:  1,739,540.3
Gen  16/150 | Best:  1,059,551.6 | Avg:  1,728,147.7
Gen  17/150 | Best:  1,059,551.6 | Avg:  1,719,237.1
Gen  18/150 | Best:  1,059,551.6 | Avg:  1,711,071.3
Gen  19/150 | Best:  1,059,551.6 | Avg:  1,698,448.3
Gen  20/150 | Best:  1,059,551.6 | Avg:  1,691,129.9
Gen  21/150 | Best:  1,059,551.6 | Avg:  1,684,758.7
Gen  22/150 | Best:  1,028,883.6 | Avg:  1,677,412.7
Gen  23/150 | Best:  1,028,883.6 | Avg:  1,670,995.9
Gen  24/150 | Best:  1,028,883.6 | Avg:  1,663,133.1
Gen  25/150 | Best:  1,028,883.6 | Avg:  1,660,633.8
Gen  26/150 | Best:  1,028,883.6 | Avg:  1,664,977.1
Gen  27/150 | Best:  1,028,883.6 | Avg:  1,659,715.3
Gen  28/150 | Best:  1,028,883.6 | Avg:  1,655,231.5
Gen  29/150 | Best:  1,004,889.9 | Avg:  1,649,746.1
Gen  30/150 | Best:  1,004,889.9 | Avg:  1,639,542.4
Gen  31/150 | Best:  1,004,889.9 | Avg:  1,625,824.2
Gen  32/150 | Best:  1,004,889.9 | Avg:  1,627,711.4
Gen  33/150 | Best:  1,004,889.9 | Avg:  1,622,808.6
Gen  34/150 | Best:  1,004,889.9 | Avg:  1,622,214.5
Gen  35/150 | Best:  1,004,889.9 | Avg:  1,619,911.4
Gen  36/150 | Best:  1,004,889.9 | Avg:  1,626,095.8
Gen  37/150 | Best:  1,004,889.9 | Avg:  1,618,408.4
Gen  38/150 | Best:    991,918.6 | Avg:  1,614,087.4
Gen  39/150 | Best:    991,918.6 | Avg:  1,608,040.3
Gen  40/150 | Best:    991,918.6 | Avg:  1,601,590.6
Gen  41/150 | Best:    991,918.6 | Avg:  1,599,488.1
Gen  42/150 | Best:    991,918.6 | Avg:  1,590,255.4
Gen  43/150 | Best:    982,737.9 | Avg:  1,586,804.8
Gen  44/150 | Best:    982,737.9 | Avg:  1,583,500.1
Gen  45/150 | Best:    982,737.9 | Avg:  1,582,805.2
Gen  46/150 | Best:    982,737.9 | Avg:  1,578,331.4
Gen  47/150 | Best:    982,737.9 | Avg:  1,580,242.0
Gen  48/150 | Best:    982,737.9 | Avg:  1,577,999.6
Gen  49/150 | Best:    982,737.9 | Avg:  1,580,725.0
Gen  50/150 | Best:    976,546.7 | Avg:  1,575,361.9
Gen  51/150 | Best:    976,546.7 | Avg:  1,567,840.5
Gen  52/150 | Best:    976,546.7 | Avg:  1,556,340.3
Gen  53/150 | Best:    976,546.7 | Avg:  1,555,005.0
