============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 3
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,314,117.5 | Avg:  2,143,290.3
Gen   3/150 | Best:  1,282,131.4 | Avg:  2,026,719.5
Gen   4/150 | Best:  1,276,245.0 | Avg:  1,946,171.7
Gen   5/150 | Best:  1,244,308.4 | Avg:  1,890,955.1
Gen   6/150 | Best:  1,229,838.3 | Avg:  1,843,429.5
Gen   7/150 | Best:  1,217,563.7 | Avg:  1,806,608.0
Gen   8/150 | Best:  1,087,129.1 | Avg:  1,767,786.0
Gen   9/150 | Best:  1,087,129.1 | Avg:  1,739,074.1
Gen  10/150 | Best:  1,087,129.1 | Avg:  1,716,263.5
Gen  11/150 | Best:  1,083,247.0 | Avg:  1,695,886.1
Gen  12/150 | Best:  1,083,247.0 | Avg:  1,678,935.6
Gen  13/150 | Best:  1,083,247.0 | Avg:  1,661,851.9
Gen  14/150 | Best:  1,071,503.9 | Avg:  1,646,039.2
Gen  15/150 | Best:  1,063,865.7 | Avg:  1,635,399.2
Gen  16/150 | Best:  1,048,908.1 | Avg:  1,617,378.1
Gen  17/150 | Best:  1,019,361.4 | Avg:  1,606,668.6
Gen  18/150 | Best:  1,019,361.4 | Avg:  1,600,898.2
Gen  19/150 | Best:  1,019,361.4 | Avg:  1,592,629.6
Gen  20/150 | Best:  1,019,361.4 | Avg:  1,595,210.5
Gen  21/150 | Best:  1,019,361.4 | Avg:  1,580,894.4
Gen  22/150 | Best:    990,614.3 | Avg:  1,576,663.4
Gen  23/150 | Best:    990,614.3 | Avg:  1,567,646.0
Gen  24/150 | Best:    990,614.3 | Avg:  1,556,841.2
Gen  25/150 | Best:    990,614.3 | Avg:  1,556,952.5
Gen  26/150 | Best:    990,614.3 | Avg:  1,548,979.3
Gen  27/150 | Best:    990,614.3 | Avg:  1,541,912.1
Gen  28/150 | Best:    963,647.4 | Avg:  1,548,076.4
Gen  29/150 | Best:    963,647.4 | Avg:  1,536,612.9
