============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.1

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,095,815.9
Gen   3/150 | Best:  1,289,189.9 | Avg:  1,961,233.7
Gen   4/150 | Best:  1,200,278.2 | Avg:  1,875,183.9
Gen   5/150 | Best:  1,159,340.4 | Avg:  1,805,452.4
Gen   6/150 | Best:  1,148,138.9 | Avg:  1,751,015.9
Gen   7/150 | Best:  1,107,565.4 | Avg:  1,715,109.0
Gen   8/150 | Best:  1,107,565.4 | Avg:  1,676,460.5
Gen   9/150 | Best:  1,107,565.4 | Avg:  1,653,048.4
Gen  10/150 | Best:  1,088,351.2 | Avg:  1,619,932.0
Gen  11/150 | Best:  1,075,093.8 | Avg:  1,596,822.6
Gen  12/150 | Best:  1,053,891.8 | Avg:  1,576,708.2
Gen  13/150 | Best:  1,053,891.8 | Avg:  1,551,381.0
Gen  14/150 | Best:  1,053,891.8 | Avg:  1,542,272.3
Gen  15/150 | Best:  1,015,261.6 | Avg:  1,538,079.4
Gen  16/150 | Best:  1,015,261.6 | Avg:  1,518,987.3
Gen  17/150 | Best:  1,015,261.6 | Avg:  1,508,022.6
Gen  18/150 | Best:  1,015,261.6 | Avg:  1,497,246.7
Gen  19/150 | Best:    995,093.4 | Avg:  1,490,362.1
Gen  20/150 | Best:    995,093.4 | Avg:  1,481,662.3
Gen  21/150 | Best:    995,093.4 | Avg:  1,476,563.6
Gen  22/150 | Best:    983,997.7 | Avg:  1,472,443.5
Gen  23/150 | Best:    980,114.6 | Avg:  1,459,831.7
Gen  24/150 | Best:    973,780.7 | Avg:  1,451,269.6
Gen  25/150 | Best:    958,229.6 | Avg:  1,440,483.3
Gen  26/150 | Best:    954,156.5 | Avg:  1,432,694.3
Gen  27/150 | Best:    954,156.5 | Avg:  1,422,687.9
Gen  28/150 | Best:    947,682.1 | Avg:  1,407,079.8
Gen  29/150 | Best:    947,682.1 | Avg:  1,385,016.6
Gen  30/150 | Best:    945,694.6 | Avg:  1,364,886.9
Gen  31/150 | Best:    931,610.8 | Avg:  1,318,458.9
Gen  32/150 | Best:    930,677.5 | Avg:  1,242,345.2
Gen  33/150 | Best:    924,038.4 | Avg:  1,145,877.9
Gen  34/150 | Best:    911,509.0 | Avg:  1,030,541.0
Gen  35/150 | Best:    899,911.4 | Avg:    971,439.1
Gen  36/150 | Best:    897,277.9 | Avg:    953,718.7
Gen  37/150 | Best:    887,455.8 | Avg:    942,126.9
Gen  38/150 | Best:    875,268.3 | Avg:    933,484.6
Gen  39/150 | Best:    866,949.7 | Avg:    927,828.7
Gen  40/150 | Best:    858,941.0 | Avg:    916,728.0
