============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 5
Mutation rate: 0.1

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,089,974.9
Gen   3/150 | Best:  1,149,323.2 | Avg:  1,957,213.4
Gen   4/150 | Best:  1,149,323.2 | Avg:  1,869,767.2
Gen   5/150 | Best:  1,149,323.2 | Avg:  1,809,086.6
Gen   6/150 | Best:  1,109,381.4 | Avg:  1,758,361.5
Gen   7/150 | Best:  1,081,236.2 | Avg:  1,719,889.3
Gen   8/150 | Best:  1,081,236.2 | Avg:  1,688,462.2
Gen   9/150 | Best:  1,066,522.2 | Avg:  1,658,820.9
Gen  10/150 | Best:    995,206.0 | Avg:  1,632,540.6
Gen  11/150 | Best:    995,206.0 | Avg:  1,610,584.3
Gen  12/150 | Best:    995,206.0 | Avg:  1,592,933.1
Gen  13/150 | Best:    983,102.2 | Avg:  1,576,194.8
Gen  14/150 | Best:    983,102.2 | Avg:  1,561,386.1
Gen  15/150 | Best:    983,102.2 | Avg:  1,548,845.7
Gen  16/150 | Best:    983,102.2 | Avg:  1,533,914.4
Gen  17/150 | Best:    971,873.6 | Avg:  1,525,205.8
Gen  18/150 | Best:    955,649.2 | Avg:  1,517,851.3
Gen  19/150 | Best:    955,649.2 | Avg:  1,508,040.3
Gen  20/150 | Best:    953,185.0 | Avg:  1,502,314.8
Gen  21/150 | Best:    953,185.0 | Avg:  1,490,240.5
Gen  22/150 | Best:    953,027.3 | Avg:  1,486,586.2
Gen  23/150 | Best:    946,732.7 | Avg:  1,479,769.3
Gen  24/150 | Best:    946,732.7 | Avg:  1,473,996.7
Gen  25/150 | Best:    927,963.3 | Avg:  1,469,164.9
Gen  26/150 | Best:    927,963.3 | Avg:  1,462,988.2
Gen  27/150 | Best:    927,963.3 | Avg:  1,453,707.0
Gen  28/150 | Best:    927,963.3 | Avg:  1,449,931.5
Gen  29/150 | Best:    927,963.3 | Avg:  1,442,698.3
Gen  30/150 | Best:    927,963.3 | Avg:  1,437,166.5
Gen  31/150 | Best:    911,541.3 | Avg:  1,430,685.2
Gen  32/150 | Best:    901,547.3 | Avg:  1,423,262.4
Gen  33/150 | Best:    889,801.5 | Avg:  1,413,829.2
Gen  34/150 | Best:    875,071.8 | Avg:  1,403,667.0
Gen  35/150 | Best:    875,071.8 | Avg:  1,391,352.6
Gen  36/150 | Best:    875,071.8 | Avg:  1,371,867.6
Gen  37/150 | Best:    875,071.8 | Avg:  1,337,808.4
Gen  38/150 | Best:    875,071.8 | Avg:  1,290,346.3
Gen  39/150 | Best:    872,838.5 | Avg:  1,226,543.0
Gen  40/150 | Best:    852,474.3 | Avg:  1,160,796.7
Gen  41/150 | Best:    852,474.3 | Avg:  1,111,778.4
Gen  42/150 | Best:    846,629.7 | Avg:  1,079,318.0
Gen  43/150 | Best:    844,059.4 | Avg:  1,053,539.2
Gen  44/150 | Best:    843,666.8 | Avg:  1,029,768.8
Gen  45/150 | Best:    832,667.0 | Avg:  1,004,056.5
Gen  46/150 | Best:    828,014.2 | Avg:    977,505.8
Gen  47/150 | Best:    828,014.2 | Avg:    956,605.7
Gen  48/150 | Best:    823,798.4 | Avg:    940,562.0
Gen  49/150 | Best:    812,965.3 | Avg:    935,171.5
Gen  50/150 | Best:    810,303.0 | Avg:    935,138.1
Gen  51/150 | Best:    810,303.0 | Avg:    939,106.7
Gen  52/150 | Best:    805,520.3 | Avg:    938,911.2
Gen  53/150 | Best:    805,520.3 | Avg:    935,765.8
Gen  54/150 | Best:    801,295.4 | Avg:    920,427.7
Gen  55/150 | Best:    797,771.9 | Avg:    890,976.7
Gen  56/150 | Best:    795,571.2 | Avg:    864,884.6
Gen  57/150 | Best:    795,571.2 | Avg:    858,892.2
Gen  58/150 | Best:    795,571.2 | Avg:    862,271.3
Gen  59/150 | Best:    793,291.7 | Avg:    865,332.2
Gen  60/150 | Best:    786,015.2 | Avg:    860,840.6
Gen  61/150 | Best:    786,015.2 | Avg:    861,680.6
Gen  62/150 | Best:    786,015.2 | Avg:    839,122.6
Gen  63/150 | Best:    786,015.2 | Avg:    818,328.9
