============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.2

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,098,493.2
Gen   3/150 | Best:  1,258,836.6 | Avg:  1,961,701.5
Gen   4/150 | Best:  1,221,613.9 | Avg:  1,873,458.3
Gen   5/150 | Best:  1,142,595.3 | Avg:  1,805,137.4
Gen   6/150 | Best:  1,134,365.6 | Avg:  1,752,448.8
Gen   7/150 | Best:  1,107,606.0 | Avg:  1,721,103.3
Gen   8/150 | Best:  1,073,583.3 | Avg:  1,683,492.3
Gen   9/150 | Best:  1,073,583.3 | Avg:  1,661,172.3
Gen  10/150 | Best:  1,073,583.3 | Avg:  1,632,940.1
Gen  11/150 | Best:  1,073,583.3 | Avg:  1,607,514.9
Gen  12/150 | Best:  1,038,265.1 | Avg:  1,589,515.9
Gen  13/150 | Best:  1,025,992.0 | Avg:  1,569,707.8
Gen  14/150 | Best:  1,021,468.7 | Avg:  1,552,068.7
Gen  15/150 | Best:    981,249.2 | Avg:  1,544,683.1
Gen  16/150 | Best:    981,249.2 | Avg:  1,532,018.8
Gen  17/150 | Best:    958,823.7 | Avg:  1,514,076.7
Gen  18/150 | Best:    958,823.7 | Avg:  1,501,131.9
Gen  19/150 | Best:    958,823.7 | Avg:  1,488,794.8
Gen  20/150 | Best:    934,999.4 | Avg:  1,479,263.5
Gen  21/150 | Best:    934,999.4 | Avg:  1,471,225.6
Gen  22/150 | Best:    934,999.4 | Avg:  1,459,322.9
Gen  23/150 | Best:    934,999.4 | Avg:  1,448,276.7
Gen  24/150 | Best:    928,982.0 | Avg:  1,429,999.3
Gen  25/150 | Best:    928,982.0 | Avg:  1,411,825.6
Gen  26/150 | Best:    928,982.0 | Avg:  1,389,072.8
Gen  27/150 | Best:    918,575.6 | Avg:  1,346,766.0
Gen  28/150 | Best:    893,277.4 | Avg:  1,264,139.2
Gen  29/150 | Best:    886,157.0 | Avg:  1,137,089.9
Gen  30/150 | Best:    886,157.0 | Avg:  1,043,863.8
Gen  31/150 | Best:    878,136.2 | Avg:    994,605.6
Gen  32/150 | Best:    867,091.0 | Avg:    973,218.4
Gen  33/150 | Best:    832,787.5 | Avg:    952,986.4
Gen  34/150 | Best:    832,787.5 | Avg:    933,272.9
Gen  35/150 | Best:    832,787.5 | Avg:    916,282.9
Gen  36/150 | Best:    827,072.7 | Avg:    900,738.0
Gen  37/150 | Best:    827,072.7 | Avg:    885,706.1
Gen  38/150 | Best:    826,605.4 | Avg:    871,875.1
Gen  39/150 | Best:    823,202.4 | Avg:    865,177.9
Gen  40/150 | Best:    823,202.4 | Avg:    860,822.2
Gen  41/150 | Best:    822,426.3 | Avg:    859,095.1
Gen  42/150 | Best:    822,426.3 | Avg:    857,631.6
Gen  43/150 | Best:    822,197.1 | Avg:    855,862.7
Gen  44/150 | Best:    817,862.9 | Avg:    861,345.6
Gen  45/150 | Best:    817,862.9 | Avg:    877,732.9
Gen  46/150 | Best:    815,611.4 | Avg:    880,445.3
Gen  47/150 | Best:    815,611.4 | Avg:    865,009.0
Gen  48/150 | Best:    814,599.5 | Avg:    865,127.6
Gen  49/150 | Best:    814,599.5 | Avg:    861,162.2
Gen  50/150 | Best:    814,343.8 | Avg:    862,245.0
Gen  51/150 | Best:    814,343.8 | Avg:    864,851.7
Gen  52/150 | Best:    813,707.6 | Avg:    851,391.9
Gen  53/150 | Best:    812,092.2 | Avg:    844,240.6
Gen  54/150 | Best:    812,092.2 | Avg:    852,707.8
Gen  55/150 | Best:    810,673.2 | Avg:    857,214.8
Gen  56/150 | Best:    810,673.2 | Avg:    852,583.9
Gen  57/150 | Best:    810,673.2 | Avg:    854,798.2
Gen  58/150 | Best:    810,673.2 | Avg:    852,862.4
Gen  59/150 | Best:    810,541.5 | Avg:    852,827.7
Gen  60/150 | Best:    808,925.5 | Avg:    839,702.7
Gen  61/150 | Best:    808,510.5 | Avg:    842,677.1
Gen  62/150 | Best:    808,510.5 | Avg:    851,541.4
Gen  63/150 | Best:    808,510.5 | Avg:    841,322.0
Gen  64/150 | Best:    808,510.5 | Avg:    844,325.1
Gen  65/150 | Best:    808,047.9 | Avg:    856,435.7
Gen  66/150 | Best:    808,047.9 | Avg:    848,984.8
Gen  67/150 | Best:    808,047.9 | Avg:    833,487.8
Gen  68/150 | Best:    808,047.9 | Avg:    830,227.2
Gen  69/150 | Best:    808,047.9 | Avg:    830,283.1
