============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 5000 (5.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,109,469.9
Gen   3/150 | Best:  1,175,299.6 | Avg:  1,979,443.7
Gen   4/150 | Best:  1,175,299.6 | Avg:  1,898,371.5
Gen   5/150 | Best:  1,173,657.1 | Avg:  1,842,107.0
Gen   6/150 | Best:  1,065,782.4 | Avg:  1,795,610.3
Gen   7/150 | Best:  1,065,782.4 | Avg:  1,763,087.1
Gen   8/150 | Best:  1,049,230.9 | Avg:  1,729,892.5
Gen   9/150 | Best:  1,049,230.9 | Avg:  1,702,560.7
Gen  10/150 | Best:  1,018,675.6 | Avg:  1,680,138.0
Gen  11/150 | Best:  1,018,675.6 | Avg:  1,663,588.0
Gen  12/150 | Best:  1,017,856.8 | Avg:  1,646,445.8
Gen  13/150 | Best:  1,005,120.4 | Avg:  1,633,919.9
Gen  14/150 | Best:  1,000,922.5 | Avg:  1,621,859.8
Gen  15/150 | Best:    941,326.1 | Avg:  1,609,587.3
Gen  16/150 | Best:    941,326.1 | Avg:  1,599,808.0
Gen  17/150 | Best:    941,326.1 | Avg:  1,591,381.0
Gen  18/150 | Best:    941,326.1 | Avg:  1,587,228.4
Gen  19/150 | Best:    941,326.1 | Avg:  1,578,352.5
Gen  20/150 | Best:    894,934.1 | Avg:  1,569,708.4
Gen  21/150 | Best:    894,934.1 | Avg:  1,565,198.3
Gen  22/150 | Best:    894,934.1 | Avg:  1,561,316.4
Gen  23/150 | Best:    894,934.1 | Avg:  1,559,202.4
Gen  24/150 | Best:    894,934.1 | Avg:  1,552,722.3
Gen  25/150 | Best:    894,934.1 | Avg:  1,545,786.9
Gen  26/150 | Best:    894,934.1 | Avg:  1,539,481.0
Gen  27/150 | Best:    894,934.1 | Avg:  1,534,441.6
Gen  28/150 | Best:    894,934.1 | Avg:  1,525,818.9
Gen  29/150 | Best:    894,934.1 | Avg:  1,516,448.0
Gen  30/150 | Best:    891,097.4 | Avg:  1,509,555.6
Gen  31/150 | Best:    878,342.0 | Avg:  1,498,381.9
Gen  32/150 | Best:    878,342.0 | Avg:  1,488,894.1
Gen  33/150 | Best:    878,342.0 | Avg:  1,464,209.3
Gen  34/150 | Best:    878,342.0 | Avg:  1,427,841.8
Gen  35/150 | Best:    872,869.1 | Avg:  1,355,855.6
Gen  36/150 | Best:    859,983.8 | Avg:  1,227,574.4
Gen  37/150 | Best:    855,961.6 | Avg:  1,090,962.1
Gen  38/150 | Best:    855,132.8 | Avg:  1,010,102.0
Gen  39/150 | Best:    834,121.6 | Avg:    976,161.5
