============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 500 (5.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,115,178.2
Gen   3/150 | Best:  1,251,964.9 | Avg:  1,977,751.1
Gen   4/150 | Best:  1,189,041.7 | Avg:  1,901,322.4
Gen   5/150 | Best:  1,171,955.1 | Avg:  1,833,315.9
Gen   6/150 | Best:  1,096,357.9 | Avg:  1,789,978.3
Gen   7/150 | Best:  1,096,357.9 | Avg:  1,753,413.2
Gen   8/150 | Best:  1,090,125.5 | Avg:  1,728,863.5
Gen   9/150 | Best:  1,081,397.0 | Avg:  1,691,034.4
Gen  10/150 | Best:  1,061,659.5 | Avg:  1,664,857.2
Gen  11/150 | Best:  1,045,196.8 | Avg:  1,642,032.6
Gen  12/150 | Best:  1,039,805.7 | Avg:  1,620,238.3
Gen  13/150 | Best:  1,020,075.7 | Avg:  1,611,491.6
Gen  14/150 | Best:    995,732.9 | Avg:  1,596,146.9
Gen  15/150 | Best:    995,732.9 | Avg:  1,586,222.4
Gen  16/150 | Best:    995,526.2 | Avg:  1,568,765.0
Gen  17/150 | Best:    982,394.3 | Avg:  1,563,093.1
Gen  18/150 | Best:    971,122.9 | Avg:  1,555,983.6
Gen  19/150 | Best:    969,352.0 | Avg:  1,541,419.5
Gen  20/150 | Best:    969,352.0 | Avg:  1,539,443.1
Gen  21/150 | Best:    969,352.0 | Avg:  1,517,299.6
Gen  22/150 | Best:    969,352.0 | Avg:  1,504,683.0
Gen  23/150 | Best:    969,352.0 | Avg:  1,477,098.5
Gen  24/150 | Best:    968,321.0 | Avg:  1,467,053.0
Gen  25/150 | Best:    949,691.9 | Avg:  1,434,619.0
Gen  26/150 | Best:    949,691.9 | Avg:  1,393,029.8
Gen  27/150 | Best:    949,691.9 | Avg:  1,342,216.0
Gen  28/150 | Best:    949,691.9 | Avg:  1,284,812.4
Gen  29/150 | Best:    940,917.5 | Avg:  1,223,449.8
Gen  30/150 | Best:    930,036.0 | Avg:  1,167,774.0
Gen  31/150 | Best:    920,065.3 | Avg:  1,126,986.6
Gen  32/150 | Best:    920,065.3 | Avg:  1,080,695.7
Gen  33/150 | Best:    920,065.3 | Avg:  1,046,745.3
Gen  34/150 | Best:    920,065.3 | Avg:  1,024,966.1
Gen  35/150 | Best:    918,498.5 | Avg:  1,014,429.6
Gen  36/150 | Best:    909,151.3 | Avg:  1,003,787.7
Gen  37/150 | Best:    909,151.3 | Avg:    995,375.9
Gen  38/150 | Best:    901,568.8 | Avg:    988,047.3
Gen  39/150 | Best:    891,213.9 | Avg:    976,713.5
Gen  40/150 | Best:    891,213.9 | Avg:    971,919.4
Gen  41/150 | Best:    880,302.7 | Avg:    972,232.1
Gen  42/150 | Best:    880,302.7 | Avg:    977,199.6
Gen  43/150 | Best:    871,382.9 | Avg:    981,383.2
Gen  44/150 | Best:    871,322.3 | Avg:    980,831.3
Gen  45/150 | Best:    866,353.7 | Avg:    967,630.3
Gen  46/150 | Best:    856,980.2 | Avg:    952,415.5
Gen  47/150 | Best:    852,006.3 | Avg:    941,403.7
Gen  48/150 | Best:    850,658.3 | Avg:    933,122.0
Gen  49/150 | Best:    850,453.7 | Avg:    927,419.8
Gen  50/150 | Best:    848,633.5 | Avg:    924,407.5
Gen  51/150 | Best:    843,841.2 | Avg:    901,528.9
Gen  52/150 | Best:    841,268.1 | Avg:    874,663.8
Gen  53/150 | Best:    839,984.9 | Avg:    872,018.9
Gen  54/150 | Best:    839,949.0 | Avg:    884,607.7
Gen  55/150 | Best:    839,616.5 | Avg:    899,765.1
Gen  56/150 | Best:    837,065.6 | Avg:    917,847.5
Gen  57/150 | Best:    835,118.8 | Avg:    903,256.8
