dataset,initial_layout,neighbor_method,experiment_num,experiment_name,final_fitness,result_file,neighbor_short
moby_dick,COLEMAK,local,1,Geometric_Fast,1131607.6,,local
moby_dick,COLEMAK,local,2,Geometric_Balanced,1021438.0,,local
moby_dick,COLEMAK,local,3,Geometric_Slow,954050.4,,local
moby_dick,COLEMAK,local,4,Logarithmic_Fast,1115001.6,results/sa/moby_dick/COLEMAK/results.txt,local
moby_dick,COLEMAK,local,5,Logarithmic_Slow,1132200.1,results/sa/moby_dick/COLEMAK/results.txt,local
moby_dick,COLEMAK,local,6,Linear_Aggressive,965603.8,results/sa/moby_dick/COLEMAK/results.txt,local
moby_dick,COLEMAK,local,7,Geometric_VeryHigh,972578.8,results/sa/moby_dick/COLEMAK/results.txt,local
moby_dick,COLEMAK,local,8,Geometric_UltraSlow,976036.1,results/sa/moby_dick/COLEMAK/results.txt,local
moby_dick,COLEMAK,random,1,Geometric_Fast,775437.3,,global
moby_dick,COLEMAK,random,2,Geometric_Balanced,776216.5,,global
moby_dick,COLEMAK,random,3,Geometric_Slow,768816.1,,global
moby_dick,COLEMAK,random,4,Logarithmic_Fast,857059.7,,global
moby_dick,COLEMAK,random,5,Logarithmic_Slow,814472.8,,global
moby_dick,COLEMAK,random,6,Linear_Aggressive,772152.9,,global
moby_dick,COLEMAK,random,7,Geometric_VeryHigh,784633.5,,global
moby_dick,COLEMAK,random,8,Geometric_UltraSlow,781872.6,,global
moby_dick,DVORAK,local,1,Geometric_Fast,982945.9,,local
moby_dick,DVORAK,local,2,Geometric_Balanced,957074.4,,local
moby_dick,DVORAK,local,3,Geometric_Slow,826952.4,,local
moby_dick,DVORAK,local,4,Logarithmic_Fast,1039898.4,results/sa/moby_dick/DVORAK/results.txt,local
moby_dick,DVORAK,local,5,Logarithmic_Slow,985479.8,results/sa/moby_dick/DVORAK/results.txt,local
moby_dick,DVORAK,local,6,Linear_Aggressive,863946.5,results/sa/moby_dick/DVORAK/results.txt,local
moby_dick,DVORAK,local,7,Geometric_VeryHigh,847941.0,results/sa/moby_dick/DVORAK/results.txt,local
moby_dick,DVORAK,local,8,Geometric_UltraSlow,858963.1,results/sa/moby_dick/DVORAK/results.txt,local
moby_dick,DVORAK,random,1,Geometric_Fast,783881.0,,global
moby_dick,DVORAK,random,2,Geometric_Balanced,786257.5,,global
moby_dick,DVORAK,random,3,Geometric_Slow,769590.3,,global
moby_dick,DVORAK,random,4,Logarithmic_Fast,865274.2,,global
moby_dick,DVORAK,random,5,Logarithmic_Slow,804108.2,,global
moby_dick,DVORAK,random,6,Linear_Aggressive,767943.6,,global
moby_dick,DVORAK,random,7,Geometric_VeryHigh,767943.6,,global
moby_dick,DVORAK,random,8,Geometric_UltraSlow,762870.5,,global
moby_dick,GA_Best,local,1,Geometric_Fast,765886.5,,local
moby_dick,GA_Best,local,2,Geometric_Balanced,765886.5,,local
moby_dick,GA_Best,local,3,Geometric_Slow,765886.5,,local
moby_dick,GA_Best,local,4,Logarithmic_Fast,765886.5,results/sa/moby_dick/GA_Best/results.txt,local
moby_dick,GA_Best,local,5,Logarithmic_Slow,765886.5,results/sa/moby_dick/GA_Best/results.txt,local
moby_dick,GA_Best,local,6,Linear_Aggressive,765886.5,results/sa/moby_dick/GA_Best/results.txt,local
moby_dick,GA_Best,local,7,Geometric_VeryHigh,765886.5,results/sa/moby_dick/GA_Best/results.txt,local
moby_dick,GA_Best,local,8,Geometric_UltraSlow,765886.5,results/sa/moby_dick/GA_Best/results.txt,local
moby_dick,GA_Best,random,1,Geometric_Fast,765886.5,,global
moby_dick,GA_Best,random,2,Geometric_Balanced,765886.5,,global
moby_dick,GA_Best,random,3,Geometric_Slow,765886.5,,global
moby_dick,GA_Best,random,4,Logarithmic_Fast,765886.5,,global
moby_dick,GA_Best,random,5,Logarithmic_Slow,765886.5,,global
moby_dick,GA_Best,random,6,Linear_Aggressive,765886.5,,global
moby_dick,GA_Best,random,7,Geometric_VeryHigh,765886.5,,global
moby_dick,GA_Best,random,8,Geometric_UltraSlow,765886.5,,global
moby_dick,GA_Exp1,local,1,Geometric_Fast,769434.6,,local
moby_dick,GA_Exp1,local,2,Geometric_Balanced,769434.6,,local
moby_dick,GA_Exp1,local,3,Geometric_Slow,769434.6,,local
moby_dick,GA_Exp1,local,4,Logarithmic_Fast,769434.6,results/sa/moby_dick/GA_Exp1/results.txt,local
moby_dick,GA_Exp1,local,5,Logarithmic_Slow,769434.6,results/sa/moby_dick/GA_Exp1/results.txt,local
moby_dick,GA_Exp1,local,6,Linear_Aggressive,769434.6,results/sa/moby_dick/GA_Exp1/results.txt,local
moby_dick,GA_Exp1,local,7,Geometric_VeryHigh,769434.6,results/sa/moby_dick/GA_Exp1/results.txt,local
moby_dick,GA_Exp1,local,8,Geometric_UltraSlow,769434.6,results/sa/moby_dick/GA_Exp1/results.txt,local
moby_dick,GA_Exp1,random,1,Geometric_Fast,767181.2,,global
moby_dick,GA_Exp1,random,2,Geometric_Balanced,768816.1,,global
moby_dick,GA_Exp1,random,3,Geometric_Slow,769434.6,,global
moby_dick,GA_Exp1,random,4,Logarithmic_Fast,769434.6,,global
moby_dick,GA_Exp1,random,5,Logarithmic_Slow,769434.6,,global
moby_dick,GA_Exp1,random,6,Linear_Aggressive,768965.0,,global
moby_dick,GA_Exp1,random,7,Geometric_VeryHigh,768816.1,,global
moby_dick,GA_Exp1,random,8,Geometric_UltraSlow,769305.5,,global
moby_dick,GA_Exp2,local,1,Geometric_Fast,769434.6,,local
moby_dick,GA_Exp2,local,2,Geometric_Balanced,769434.6,,local
moby_dick,GA_Exp2,local,3,Geometric_Slow,769434.6,,local
moby_dick,GA_Exp2,local,4,Logarithmic_Fast,769434.6,results/sa/moby_dick/GA_Exp2/results.txt,local
moby_dick,GA_Exp2,local,5,Logarithmic_Slow,769434.6,results/sa/moby_dick/GA_Exp2/results.txt,local
moby_dick,GA_Exp2,local,6,Linear_Aggressive,769434.6,results/sa/moby_dick/GA_Exp2/results.txt,local
moby_dick,GA_Exp2,local,7,Geometric_VeryHigh,769434.6,results/sa/moby_dick/GA_Exp2/results.txt,local
moby_dick,GA_Exp2,local,8,Geometric_UltraSlow,769434.6,results/sa/moby_dick/GA_Exp2/results.txt,local
moby_dick,GA_Exp2,random,1,Geometric_Fast,769434.6,,global
moby_dick,GA_Exp2,random,2,Geometric_Balanced,767943.6,,global
moby_dick,GA_Exp2,random,3,Geometric_Slow,769434.6,,global
moby_dick,GA_Exp2,random,4,Logarithmic_Fast,769434.6,,global
moby_dick,GA_Exp2,random,5,Logarithmic_Slow,769434.6,,global
moby_dick,GA_Exp2,random,6,Linear_Aggressive,769434.6,,global
moby_dick,GA_Exp2,random,7,Geometric_VeryHigh,769434.6,,global
moby_dick,GA_Exp2,random,8,Geometric_UltraSlow,762870.5,,global
moby_dick,GA_Exp3,local,1,Geometric_Fast,769434.6,,local
moby_dick,GA_Exp3,local,2,Geometric_Balanced,769434.6,,local
moby_dick,GA_Exp3,local,3,Geometric_Slow,769434.6,,local
moby_dick,GA_Exp3,local,4,Logarithmic_Fast,769434.6,results/sa/moby_dick/GA_Exp3/results.txt,local
moby_dick,GA_Exp3,local,5,Logarithmic_Slow,769434.6,results/sa/moby_dick/GA_Exp3/results.txt,local
moby_dick,GA_Exp3,local,6,Linear_Aggressive,769434.6,results/sa/moby_dick/GA_Exp3/results.txt,local
moby_dick,GA_Exp3,local,7,Geometric_VeryHigh,769434.6,results/sa/moby_dick/GA_Exp3/results.txt,local
moby_dick,GA_Exp3,local,8,Geometric_UltraSlow,769434.6,results/sa/moby_dick/GA_Exp3/results.txt,local
moby_dick,GA_Exp3,random,1,Geometric_Fast,769434.6,,global
moby_dick,GA_Exp3,random,2,Geometric_Balanced,768816.1,,global
moby_dick,GA_Exp3,random,3,Geometric_Slow,769434.6,,global
moby_dick,GA_Exp3,random,4,Logarithmic_Fast,769434.6,,global
moby_dick,GA_Exp3,random,5,Logarithmic_Slow,769434.6,,global
moby_dick,GA_Exp3,random,6,Linear_Aggressive,769434.6,,global
moby_dick,GA_Exp3,random,7,Geometric_VeryHigh,769434.6,,global
moby_dick,GA_Exp3,random,8,Geometric_UltraSlow,768816.1,,global
moby_dick,GA_Exp4,local,1,Geometric_Fast,765886.5,,local
moby_dick,GA_Exp4,local,2,Geometric_Balanced,765886.5,,local
moby_dick,GA_Exp4,local,3,Geometric_Slow,765886.5,,local
moby_dick,GA_Exp4,local,4,Logarithmic_Fast,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,5,Logarithmic_Slow,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,6,Linear_Aggressive,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,7,Geometric_VeryHigh,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,local,8,Geometric_UltraSlow,765886.5,results/sa/moby_dick/GA_Exp4/results.txt,local
moby_dick,GA_Exp4,random,1,Geometric_Fast,765886.5,,global
moby_dick,GA_Exp4,random,2,Geometric_Balanced,765886.5,,global
moby_dick,GA_Exp4,random,3,Geometric_Slow,765886.5,,global
moby_dick,GA_Exp4,random,4,Logarithmic_Fast,765886.5,,global
moby_dick,GA_Exp4,random,5,Logarithmic_Slow,765886.5,,global
